cpt,total_count,association,resolveFroms
65272,10,1.25,99157|99156
0360,8,1.0
0636,7,0.875
J2704,6,0.75
0370,6,0.75
J3010,5,0.625
J7120,5,0.625
0710,5,0.625
0250,5,0.625
J2250,4,0.5
0272,4,0.5
J1100,3,0.375
J2405,3,0.375
J0690,3,0.375
0258,2,0.25
0270,2,0.25
0278,2,0.25
0259,2,0.25
66250,2,0.25
J3490,1,0.125
67950,1,0.125
01999,1,0.125
J1170,1,0.125
J2710,1,0.125
21390,1,0.125
21408,1,0.125
J2370,1,0.125
0251,1,0.125
81025,1,0.125
0307,1,0.125
J3470,1,0.125
68110,1,0.125
82962,1,0.125
88300,1,0.125
0301,1,0.125
0312,1,0.125
A9270,1,0.125
0637,1,0.125
J0131,1,0.125
V2785,1,0.125
67250,1,0.125
84132,1,0.125
82947,1,0.125
0300,1,0.125
0812,1,0.125
J3473,1,0.125
