cpt,total_count,association,resolveFroms
33285,19383,1.4294247787610619,93005|96374|96372|96361|96375|96360|96365|96376|95819|95816|99156|99291|99218|96366|99157|93041|93000|99219|99214|93291|99211|12013|93285|12001|36600|51702|96367|99220|12011|93261|51701|12002|99212|95812|95813|99213|36000|94002|93010|99215|93260|99217|11042|97602|36410|99292|36430|92012|12014|93318|12032|96368
C1764,12703,0.9367994100294985
0278,12192,0.8991150442477877
0250,8528,0.6289085545722713
0636,6056,0.44660766961651915
0272,5728,0.4224188790560472
0481,5481,0.40420353982300883
80053,3908,0.28820058997050146,80048|82947|84132|82565|84520|84295|82435
0361,3757,0.2770648967551622
0710,3621,0.2670353982300885
0301,2784,0.20530973451327433
0480,2652,0.19557522123893806
0360,2638,0.19454277286135693
0300,2613,0.19269911504424778
0730,2547,0.18783185840707964
00537,2493,0.1838495575221239,93312|93306|93308|94640|C8929|94660|93970|C8925|94762|99283|93971|93307|99282|93926|93451|C8924|76998|93351|93303|95957|36011|93304|93925|93922|93315|C8923|C8930|G0500|95713|93456|99281|93313|36012|99224|93975|99151|93923|99225|95711|95700|95712|36010
0305,2482,0.18303834808259586
0270,2407,0.17750737463126845
J0690,2306,0.1700589970501475
93654,2299,0.16954277286135694,93613|93620|92960|93458|36620|93619|93622|93609|93454|76000|93567|76942|93460|93459|93603|93600|93612|93568|93563|93566|93453|93618|93565|36569|36005|93455|93461|36556|36573|93596
J3010,2077,0.15317109144542773
J2250,1982,0.14616519174041298
85610,1952,0.143952802359882
85025,1838,0.1355457227138643,85007
36415,1752,0.12920353982300886
0370,1699,0.12529498525073746
0258,1464,0.1079646017699115
G0306,1416,0.10442477876106195,85027|85014|85018|85048|85049|85004|85008
J2001,1264,0.09321533923303835
J3490,1159,0.08547197640117994
85730,1042,0.07684365781710914
J7030,940,0.06932153392330384
0306,935,0.068952802359882
J2704,877,0.0646755162241888
C1894,849,0.06261061946902655
J1644,831,0.061283185840707965
C1730,815,0.06010324483775811
0275,808,0.05958702064896755
93656,791,0.058333333333333334,93621|93653|93602|93624|93610|93644
83735,785,0.057890855457227136
82962,743,0.05479351032448378,82948
0762,742,0.05471976401179941
0483,715,0.052728613569321535
G0378,703,0.051843657817109146
0637,697,0.05140117994100295
0450,670,0.049410029498525077
81241,653,0.04815634218289085,87641|87640|0202U|87147|87637|87798|87502|87633|87581|87497|87522|87486|87799|87506|87631|87507|84311|87150|87483
84484,647,0.04771386430678466
33286,626,0.04616519174041298
J2405,612,0.04513274336283186
0324,598,0.04410029498525074
70496,568,0.04188790560471976,70450|76376|76377|70470
U0002,553,0.040781710914454275,U0003|U0004
A9270,535,0.039454277286135694
J3370,473,0.03488200589970501
80307,461,0.03399705014749262,81001|81003|82570|84156|83516|80305|83520|82542
93623,451,0.03325958702064897
0259,415,0.0306047197640118
0351,414,0.030530973451327433
84443,409,0.030162241887905606
C1732,408,0.03008849557522124
0307,405,0.029867256637168143
86900,393,0.028982300884955754
Q9967,389,0.02868731563421829,Q9966|Q9965
86901,386,0.02846607669616519
86850,384,0.02831858407079646
80061,367,0.027064896755162243
0271,366,0.026991150442477876
C1769,350,0.025811209439528023
0279,343,0.025294985250737465
0260,338,0.024926253687315634
0320,321,0.023672566371681417
0761,320,0.02359882005899705
J2370,320,0.02359882005899705
93662,316,0.023303834808259587
C1893,309,0.022787610619469028
0302,305,0.022492625368731565
J7050,295,0.021755162241887907
C1759,294,0.02168141592920354
80069,292,0.021533923303834808,80076|80047|80051|82374|82310|82040
J7040,284,0.02094395280235988
83036,262,0.019321533923303835
C1766,262,0.019321533923303835
0251,253,0.018657817109144544
85347,252,0.018584070796460177
0424,243,0.017920353982300886
J1100,241,0.017772861356932155
J2720,238,0.017551622418879056
70553,227,0.016740412979351034,70551|70544|70545|70552
83880,214,0.015781710914454277
C1760,211,0.01556047197640118
0001,208,0.015339233038348082
81025,206,0.01519174041297935
0921,201,0.014823008849557522
C1733,197,0.014528023598820059
0309,194,0.014306784660766961
J7120,193,0.014233038348082596
97163,175,0.012905604719764012,97161|97164
J1650,174,0.012831858407079646
93880,172,0.012684365781710914
0611,172,0.012684365781710914
C9803,172,0.012684365781710914
J1200,171,0.012610619469026548
C1731,164,0.012094395280235988
0352,163,0.012020648967551622
93660,157,0.011578171091445428
U0005,156,0.011504424778761062
0460,155,0.011430678466076696
0420,147,0.01084070796460177
0434,145,0.010693215339233038
84100,144,0.010619469026548672
82550,140,0.01032448377581121
0350,132,0.009734513274336283
87081,130,0.009587020648967551
0310,130,0.009587020648967551
97167,130,0.009587020648967551,97165|96156|96105|96125
84703,128,0.00943952802359882
0255,128,0.00943952802359882
0489,126,0.009292035398230088
88300,119,0.008775811209439528
0402,119,0.008775811209439528
0372,116,0.00855457227138643
93655,113,0.008333333333333333
J0330,111,0.008185840707964602
C1887,110,0.008112094395280236
J1885,109,0.00803834808259587
J0360,109,0.00803834808259587
0482,104,0.007669616519174041
0369,103,0.007595870206489675
70498,101,0.007448377581120944
0510,100,0.007374631268436578
72125,99,0.007300884955752212
0740,97,0.007153392330383481
J0131,96,0.007079646017699115
84439,95,0.007005899705014749
92526,95,0.007005899705014749,97530
0410,90,0.00663716814159292
0252,88,0.006489675516224189
0430,86,0.006342182890855457
82607,86,0.006342182890855457
85379,85,0.006268436578171091
A6258,84,0.006194690265486726
78452,84,0.006194690265486726,A9555|78582|A9567|78580|A9558|A9562
83605,81,0.005973451327433628
0371,80,0.0058997050147492625
78492,80,0.0058997050147492625,A9500|A9502|A9540
C2630,78,0.005752212389380531
